variable,coefficient,std_err,t_value,p_value,significance
constant,-8.692145661104794e-16,0.08952497070093415,-9.709185708802579e-15,0.9999999999999922,
Curb_ratios_mean,-0.29625334925555413,0.09964315678063619,-2.9731429515802485,0.0038938395498191647,**
Traffic Sign (Back)_ratios_mean,-0.2279500145932291,0.09999154694071667,-2.2796928497203557,0.025289383191393205,*
Banner_ratios_mean,0.23848545011531308,0.09701911781424068,2.458128413123003,0.01612667496617979,*
Bird_ratios_std,0.23078216359396253,0.09631724059605343,2.396062866479366,0.01890669870236654,*
