variable,coefficient,std_err,t_value,p_value,significance
constant,-2.949246749595069e-15,0.05082084261772023,-5.803222846538803e-14,0.9999999999999538,
Motorcyclist_ratios_mean,0.26484947175608875,0.051454437408023884,5.147262026322101,4.521071081148046e-07,***
Road_ratios_mean,0.07922414569217291,0.09063238597545102,0.8741262280530915,0.3826775946932287,
Road_counts_std,-0.09448732607926308,0.09019575272537778,-1.0475806590023369,0.29558932998419823,
Other Rider_counts_mean,-0.1615797941493822,0.050845836418954196,-3.1778372730072517,0.001622408104593102,**
