variable,coefficient,std_err,t_value,p_value,significance
constant,7.015221736850208e-15,0.050996255325139676,1.375634679864799e-13,0.9999999999998903,
Road_counts_std,-0.21411274923522883,0.053040765850932765,-4.036758251888315,6.725071805331198e-05,***
Rail Track_ratios_std,-0.15924363255523158,0.06325325708445247,-2.5175562476192765,0.01228459122571155,*
CCTV Camera_ratios_mean,-0.1410457503584911,0.064761073322645,-2.1779402829812526,0.030109678632700563,*
Sidewalk_ratios_std,-0.01210360391420656,0.07393119007803821,-0.16371444719651582,0.8700549633874006,
